epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,617.228,2.10574,3.37904,1.65218,0.00295,0.88064,0.01544,0.00591,2.10034,3.33205,1.85283,0.0008516,0.0008516,0.0008516
60,625.744,2.10715,3.39797,1.65726,0.00315,0.9424,0.01482,0.00559,2.03487,3.31155,1.82121,0.0008318,0.0008318,0.0008318
61,633.847,2.11602,3.3694,1.69619,0.00961,0.45455,0.01897,0.00783,2.0095,3.34196,1.81966,0.000812,0.000812,0.000812
62,642.487,2.05818,3.3759,1.59141,0.00318,0.93685,0.01132,0.00449,2.16797,3.23465,1.86154,0.0007922,0.0007922,0.0007922
63,650.972,2.08416,3.38407,1.63323,0.00323,0.94518,0.01922,0.00972,2.06531,3.19386,1.82396,0.0007724,0.0007724,0.0007724
64,659.579,2.06798,3.37204,1.64017,0.00302,0.90632,0.00879,0.00327,2.29061,3.48745,1.95511,0.0007526,0.0007526,0.0007526
65,668.206,2.10261,3.38677,1.64404,0.00303,0.9077,0.01322,0.00543,2.14834,3.33009,1.87972,0.0007328,0.0007328,0.0007328
66,676.846,2.09293,3.37238,1.64578,0.00317,0.93477,0.01583,0.0059,2.1579,3.25171,1.88243,0.000713,0.000713,0.000713
67,685.333,2.04942,3.3694,1.62922,0.00359,0.90978,0.0103,0.00397,2.22655,3.25354,1.92842,0.0006932,0.0006932,0.0006932
68,693.625,2.07963,3.35664,1.64262,0.00534,0.12075,0.00394,0.00171,2.26154,3.86117,2.01107,0.0006734,0.0006734,0.0006734
69,702.143,2.07966,3.34121,1.62593,0.00325,0.94587,0.01663,0.00687,2.05378,3.24332,1.84701,0.0006536,0.0006536,0.0006536
70,710.755,2.02763,3.33196,1.59532,0.03245,0.13602,0.01615,0.00619,2.22658,3.3648,1.95779,0.0006338,0.0006338,0.0006338
71,719.228,2.02458,3.329,1.60387,0.00596,0.79389,0.019,0.00798,2.05059,3.23289,1.83668,0.000614,0.000614,0.000614
72,727.693,2.0718,3.33586,1.64421,0.01009,0.55448,0.01393,0.00535,2.28522,3.21067,1.94962,0.0005942,0.0005942,0.0005942
73,736.3,2.06014,3.3265,1.62054,0.01467,0.09577,0.01632,0.00696,2.23554,3.22033,1.90234,0.0005744,0.0005744,0.0005744
74,744.05,2.0387,3.31893,1.60062,0.01193,0.02151,0.0066,0.00337,2.3545,4.53908,2.07429,0.0005546,0.0005546,0.0005546
75,752.578,2.04188,3.31573,1.62103,0.01623,0.40458,0.02298,0.00863,2.07899,3.20005,1.83844,0.0005348,0.0005348,0.0005348
76,761.114,2.07356,3.3177,1.64138,0.03778,0.08605,0.02204,0.00981,2.06497,3.14893,1.80355,0.000515,0.000515,0.000515
77,769.7,2.05277,3.31686,1.61107,0.02768,0.1152,0.02213,0.00899,2.07463,3.16398,1.84703,0.0004952,0.0004952,0.0004952
78,778.265,2.05701,3.28712,1.63223,0.04309,0.16794,0.02941,0.01347,2.0679,3.12915,1.85416,0.0004754,0.0004754,0.0004754
79,786.991,2.03464,3.2761,1.60317,0.03169,0.23387,0.02751,0.01171,2.04455,3.08062,1.85801,0.0004556,0.0004556,0.0004556
80,795.595,2.04041,3.27757,1.61913,0.06634,0.0694,0.03202,0.01349,2.10295,3.0387,1.86443,0.0004358,0.0004358,0.0004358
81,804.257,2.05658,3.26056,1.62376,0.0644,0.0458,0.0291,0.01298,2.06759,3.10506,1.87918,0.000416,0.000416,0.000416
82,813.003,2.04515,3.28087,1.62311,0.04914,0.03331,0.02841,0.01128,2.0591,3.2614,1.89612,0.0003962,0.0003962,0.0003962
83,821.582,2.03106,3.26121,1.60625,0.03527,0.18182,0.02594,0.00962,2.0631,3.05196,1.88081,0.0003764,0.0003764,0.0003764
84,830.236,2.03127,3.23297,1.60371,0.07139,0.03192,0.03196,0.01309,2.01834,2.97781,1.83355,0.0003566,0.0003566,0.0003566
85,838.569,2.04573,3.2693,1.62381,0.03524,0.32547,0.03944,0.01607,2.08714,3.01349,1.8844,0.0003368,0.0003368,0.0003368
86,847.067,2.02362,3.23956,1.58721,0.00751,0.8737,0.03035,0.01227,2.07863,3.02923,1.8522,0.000317,0.000317,0.000317
87,855.585,1.98594,3.22947,1.57888,0.04183,0.16863,0.03346,0.01267,2.09758,2.96997,1.86329,0.0002972,0.0002972,0.0002972
88,864.181,2.03395,3.22345,1.59569,0.04639,0.17765,0.03607,0.01484,2.08128,2.91472,1.85266,0.0002774,0.0002774,0.0002774
89,872.75,2.00241,3.20649,1.57638,0.07638,0.08744,0.04136,0.01729,1.97425,2.86966,1.82542,0.0002576,0.0002576,0.0002576
90,881.329,2.02122,3.24278,1.5894,0.03582,0.29979,0.03616,0.01481,2.00279,2.92792,1.85015,0.0002378,0.0002378,0.0002378
91,890.776,1.8008,3.16262,1.57226,0.10138,0.0576,0.04405,0.02035,1.98042,3.00533,1.87395,0.000218,0.000218,0.000218
92,899.136,1.73243,3.01308,1.53772,0.09407,0.08993,0.05118,0.02132,1.93754,2.87828,1.85161,0.0001982,0.0001982,0.0001982
93,907.386,1.75119,2.91622,1.53879,0.10097,0.11738,0.05914,0.02595,1.94948,2.75659,1.83798,0.0001784,0.0001784,0.0001784
94,915.638,1.75041,2.84693,1.51776,0.10085,0.16933,0.07021,0.03159,1.89015,2.66818,1.83365,0.0001586,0.0001586,0.0001586
95,924.794,1.74117,2.76973,1.50098,0.13452,0.20958,0.08937,0.03837,1.9011,2.56517,1.83803,0.0001388,0.0001388,0.0001388
96,934.191,1.75129,2.71696,1.52301,0.17053,0.22762,0.11944,0.04899,1.88359,2.49073,1.80601,0.000119,0.000119,0.000119
97,942.288,1.73531,2.65558,1.51694,0.20312,0.24636,0.13955,0.05429,1.88422,2.4333,1.796,9.92e-05,9.92e-05,9.92e-05
98,950.425,1.69642,2.61408,1.47664,0.1528,0.2179,0.12607,0.05292,1.8405,2.38895,1.7997,7.94e-05,7.94e-05,7.94e-05
99,958.636,1.70208,2.56485,1.47834,0.16134,0.24011,0.12167,0.04959,1.86208,2.39966,1.80695,5.96e-05,5.96e-05,5.96e-05
100,966.591,1.67023,2.54286,1.4637,0.20062,0.25468,0.15669,0.0622,1.84599,2.33833,1.79051,3.98e-05,3.98e-05,3.98e-05
